loc	country	PC1	lon	lat	colour
Kedougou	SEN	0.87805004576	-12.18102646	12.54933739	#404040
Salemata	SEN	0.65007252264	-12.81917381	12.63105965	#5e5e5e
Saraya	SEN	1.0	-11.68829536	12.85935783	#323232
Velingara	SEN	0.26277472672	-13.74808121	13.13258171	#bcbcbc
Tambacounda	SEN	0.2	-13.66544151	13.7588253	#c8c8c8
Kenieba	MLI	0.2	-11.22604754	12.83203433	#c8c8c8
Kita	MLI	0.5870857972	-9.49267267	13.02372016	#6e6e6e
Kangaba	MLI	0.9290070864	-8.41446557	11.94923244	#3a3a3a
Kati	MLI	0.97072528296	-8.02727509	12.52016258	#353535
Yanfolila	MLI	1.0	-8.31577466	11.38237793	#323232
SanPedro	CIV	1.0	-7.34881391	4.42456008	#323232
Folon	CIV	0.2	-7.74687139	10.09328291	#c8c8c8
Kabadougou	CIV	0.28356904304	-7.58520267	9.50847935	#b8b8b8
Cavally	CIV	0.70251893352	-7.5036903	6.53206197	#555555
Tonkpi	CIV	0.58106772328	-7.55625203	7.39313572	#707070
Bafing	CIV	0.45579008	-7.67510782	8.27737755	#8f8f8f
Bomi	LBR	0.25872814144	-10.8295120288	6.87588321755	#efa78b
Bong	LBR	0.39148070168	-9.84787197642	6.99788776921	#de8461
Gbarpolu	LBR	0.24514025024	-10.2979890098	7.67104538782	#f0ab90
GrandCapeMount	LBR	0.2	-11.3462656417	6.71649625084	#f1b69f
GrandBassa	LBR	0.49395394944	-10.0328941324	5.88728168286	#c76945
GrandGedeh	LBR	0.75708496336	-8.13455660972	6.06855134877	#8c3513
GrandKru	LBR	0.91425041904	-8.17536835966	4.67567728579	#69290f
Lofa	LBR	0.25461354944	-10.0804143686	7.8682772854	#efa88c
Margibi	LBR	0.4035266476	-10.363486816	6.23620888807	#db815e
Maryland	LBR	1.0	-7.67478967701	4.58388408384	#57230c
Montserrado	LBR	0.3443983316	-10.7027902722	6.30700445873	#e9906e
Nimba	LBR	0.59763911456	-8.8640980785	6.49642145407	#af4e29
RiverCess	LBR	0.59871918976	-9.49215220369	5.6845988176	#ae4d28
RiverGee	LBR	0.92813522744	-7.66138798851	5.21406190452	#66280e
Sinoe	LBR	0.73760420536	-9.05118668403	5.06334573575	#903613
Boffa	GIN	0.26746318688	-14.0295918632	10.1826189542	#87c4b1
Boke	GIN	0.2	-14.2744393766	10.9442867798	#a0d0c1
Fria	GIN	0.30785714352	-13.5748520303	10.3642982234	#79bda8
Gaoual	GIN	0.24236543384	-13.4902120226	11.7708212833	#90c8b7
Koundara	GIN	0.20436286992	-13.5349242851	12.3927914064	#9fcfc0
