#name, Beyla, Bo, Bombali, Bomi, Conakry, Coyah, Dalaba, Dubreka, Faranah, Forecariah, Gbarpolu, GrandBassa, GrandCapeMount, Gueckedou, Kailahun, Kambia, Kankan, Kenema, Kerouane, Kindia, Kissidougou, Koinadugu, Kono, Kouroussa, Lofa, Macenta, Margibi, Montserrado, Moyamba, Nimba, Nzerekore, PortLoko, Pujehun, Siguiri, Sinoe, Tonkolili, WesternRural, WesternUrban
NODE_0000042, 0.015699929933783895, 0.012362981490155476, 0.004679632285343875, 0.01569955371027871, 0.02026539942137294, 0.2555522492200501, 0.01470422162254418, 0.01570048766002135, 0.013307418870275103, 0.016272891365048378, 0.014703262786394498, 0.013209704940076606, 0.015024271435213987, 0.2730273790859334, 0.004506034636783185, 0.010506227821833443, 0.01590736934498637, 0.006532785831304512, 0.01800383049158639, 0.019843115644332686, 0.02132015944106657, 0.013832144681138688, 0.011127539180413867, 0.01569909598171181, 0.010982070784592953, 0.01870220449299006, 0.01190859159577524, 0.009761082361503994, 0.010182941135168454, 0.014705095428287714, 0.012407871987395682, 0.005099529767624121, 0.012401821460896018, 0.01869964378573018, 0.01569907404279028, 0.011918022349750283, 0.006025381162020424, 0.004018982763824585
NODE_0000038, 9.495842070352247e-13, 7.11154768116195e-13, 8.228329865145766e-14, 9.448560792933154e-13, 0.0019790512393292, 0.9980209408272755, 9.244012693134476e-13, 9.569825409350225e-13, 7.924976495538334e-13, 9.12399216361878e-13, 9.178243823919605e-13, 8.531475976413535e-13, 9.114612377289888e-13, 1.2642134099347167e-11, 6.890194304232717e-12, 7.273955635417094e-09, 8.973654365213081e-13, 4.6798268044549e-13, 2.598685808125632e-10, 3.014575897818806e-10, 5.359410772616998e-11, 7.669600947431764e-13, 4.5407705255256303e-13, 9.391155570082484e-13, 8.027485995521981e-13, 8.066906947619589e-13, 8.126538384897074e-13, 6.076218844044585e-13, 3.9796724594996406e-12, 9.304163382372561e-13, 8.457505726236954e-13, 4.033228421912512e-14, 8.254984048986216e-13, 9.866798679443506e-13, 9.389374598871897e-13, 7.424666186078156e-13, 1.6931185777039846e-13, 1.5680847157928945e-14
EBOV|1316|KR534546|GIN|Coyah|2014-10-07, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
EBOV|1298|KR534545|GIN|Conakry|2014-10-06, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
EBOV|1278|KR534544|GIN|Coyah|2014-10-04, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
EBOV|1551|KR534562|GIN|Conakry|2014-10-18, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
EBOV|1327|KR534591|GIN|Coyah|2014-10-07, 3.477069048019197e-05, 2.714991485152522e-05, 9.781693737199499e-06, 3.476714900050958e-05, 0.002041938774770214, 0.9969736415073502, 3.262107188908955e-05, 3.477611747316534e-05, 2.907630653621106e-05, 3.604373363409608e-05, 3.26153647358424e-05, 2.9021731840152192e-05, 3.339288713838288e-05, 2.7835139022774528e-05, 2.8293277129273917e-06, 2.9800240229981577e-05, 3.474043866848997e-05, 1.3854670891644246e-05, 4.720313918802044e-05, 5.297329464169544e-05, 2.606723173905937e-05, 3.0534066312024234e-05, 2.4354444429397714e-05, 3.4762874192467456e-05, 2.3840135283799068e-05, 2.0147650253045936e-05, 2.6048300464282868e-05, 2.120512972389374e-05, 2.198779745119735e-05, 3.262630230847185e-05, 2.7322483430268192e-05, 1.0540242753569452e-05, 2.7298312653866594e-05, 3.2990706007272895e-05, 3.4762726754599165e-05, 2.618030417784746e-05, 1.2663565420867826e-05, 7.834532851416431e-06
EBOV|1320|KR534590|GIN|Coyah|2014-10-07, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
EBOV|1249|KR534541|GIN|Conakry|2014-10-04, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
EBOV|1374|KR534556|GIN|Coyah|2014-10-10, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
EBOV|1213|KR534583|GIN|Conakry|2014-10-02, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
EBOV|1047|KR534528|GIN|Kindia|2014-09-20, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
EBOV|1686|KR534572|GIN|Coyah|2014-10-24, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
EBOV|1689|KR534573|GIN|Coyah|2014-10-25, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
