#name, Beyla, Bo, Bombali, Bomi, Conakry, Coyah, Dalaba, Dubreka, Faranah, Forecariah, Gbarpolu, GrandBassa, GrandCapeMount, Gueckedou, Kailahun, Kambia, Kankan, Kenema, Kerouane, Kindia, Kissidougou, Koinadugu, Kono, Kouroussa, Lofa, Macenta, Margibi, Montserrado, Moyamba, Nimba, Nzerekore, PortLoko, Pujehun, Siguiri, Sinoe, Tonkolili, WesternRural, WesternUrban
NODE_0000210, 1.2496690397659037e-09, 1.2704908351132389e-09, 5.272645542939562e-10, 1.2473839021134689e-09, 9.88241667260038e-10, 3.4563404965537276e-09, 1.2470808086096644e-09, 1.253714093678495e-09, 5.789978733944635e-09, 1.1912759050433152e-09, 1.2623742150027734e-09, 1.2740564397503928e-09, 1.2466768809779935e-09, 0.9999834649873126, 2.1496501841311333e-07, 9.231646850843143e-10, 1.2691052254413934e-09, 1.3686412698726694e-09, 9.17006196243125e-09, 1.2821978156327076e-09, 1.6233694569776424e-05, 1.2028904606947781e-09, 1.0863727810166612e-09, 1.279377928003716e-09, 4.056304749700297e-09, 2.6933698441996732e-08, 1.2743350505090648e-09, 1.333125899542778e-09, 1.2014696146558094e-09, 1.2590610276887774e-09, 1.2942234858828871e-09, 5.689574747691376e-10, 1.2775831590623615e-09, 4.079824695830667e-09, 1.2453007340043373e-09, 1.199780483553231e-09, 5.002785148436239e-10, 5.427963244280381e-10
EBOV|EM_079442|KR817192|GIN|Gueckedou|2014-04-03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
EBOV|Kissidougou-C15|KJ660346|GIN|Kissidougou|2014-03-17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000087, 2.901625816645036e-14, 2.73201447734023e-14, 1.1180331686762033e-14, 2.8937858821000394e-14, 4.136501236643321e-14, 6.215290512048377e-13, 2.892749353132166e-14, 2.9155249641736197e-14, 2.081196358406538e-13, 2.7585008738748682e-14, 2.922001030632226e-14, 2.9392025582600906e-14, 2.8913593386736336e-14, 0.9999999979525415, 5.4147531954671395e-12, 2.0371970872771176e-14, 2.898393311647834e-14, 2.336184898207911e-14, 4.663802113534052e-13, 3.1750457788907066e-14, 4.510197103755166e-11, 2.7629627711618535e-14, 2.4669574095464058e-14, 2.9632335510875806e-14, 2.5455893636440544e-13, 1.9944663575192328e-09, 2.8120550648416205e-14, 2.4152504044383558e-14, 2.6530943550779802e-14, 2.917373877531012e-14, 5.743083891439467e-14, 1.1288010597771268e-14, 2.8436012623639436e-14, 1.453624830696012e-13, 2.886646579857285e-14, 2.7683985812951806e-14, 1.082425430756571e-14, 9.473310235666866e-15
NODE_0000088, 1.831743624831595e-07, 1.727930595464118e-07, 7.66415830608217e-08, 1.8282916375342216e-07, 4.2744142858772663e-07, 3.5161695590650725e-07, 1.8278367588867167e-07, 1.8378556500040124e-07, 8.56317564427967e-07, 1.744667171955201e-07, 1.848863265061198e-07, 1.8649837687962396e-07, 1.8272224807738778e-07, 0.8138659213864712, 3.94168383655135e-06, 1.2965215888287315e-07, 1.8553299079981784e-07, 1.4964516029222662e-07, 7.141861308224638e-07, 1.8781709717087797e-07, 1.6114617347640248e-06, 1.7612300036248576e-07, 1.5887481145807415e-07, 1.8745542153974212e-07, 1.3877229259808143e-06, 0.18611933914941306, 1.796079755238986e-07, 1.588507254699396e-07, 1.6930345333975941e-07, 1.843989558510026e-07, 6.956957557372234e-07, 7.953992448895488e-08, 1.8021821692964452e-07, 4.141926573899787e-07, 1.8251462753762413e-07, 1.7559308433349775e-07, 7.271892175254769e-08, 7.071752146613191e-08
EBOV|EM_079429|KR817190|GIN|Gueckedou|2014-04-02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
EBOV|EM_079434|KR817191|GIN|Macenta|2014-04-02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
EBOV|EM_079421|KR817186|GIN|Macenta|2014-03-30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000089, 6.078605038509168e-15, 5.7660867072644674e-15, 2.434569109653665e-15, 6.063783130730348e-15, 3.769343756590859e-15, 3.6537614392233155e-14, 6.061817550951317e-15, 6.104875286187221e-15, 4.0485451874855584e-14, 5.787590700562004e-15, 6.131986723599484e-15, 6.16165082931959e-15, 6.059191195475219e-15, 0.9999999999977238, 1.1502230746983328e-12, 4.1710309545678566e-15, 6.1268307210494714e-15, 5.0087785098268675e-15, 1.6771692133006378e-13, 6.237309627839237e-15, 1.7478560382352782e-13, 5.817051090612427e-15, 5.221136062377625e-15, 6.21583793422526e-15, 3.811860977582457e-14, 4.725639343977248e-13, 5.929955037034147e-15, 5.205087381955408e-15, 5.6036667312478466e-15, 6.120991960418385e-15, 6.096880103130738e-15, 2.4814016931988256e-15, 5.9863919136245306e-15, 4.303855601196209e-14, 6.05027655065248e-15, 5.819860267694085e-15, 2.3434042730416404e-15, 2.1382304955594723e-15
EBOV|EM_079542|KR817199|GIN|Gueckedou|2014-04-12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
